shoe,tracking_start_date,tracked_runs,tracked_distance_km,pre_tracking_mileage,latest_run_date,status,notes
特步 7.0 Pro,2026-07-19,10,105.78259,未知且不计,2026-09-14,在用,从2026-07-19开始统计；此前里程不估算、不补录
李宁飞电 5E,2026-07-20,9,115.29998,未知且不计,2026-08-29,在用,从2026-07-20开始统计；此前里程不估算、不补录
布鲁克斯 飓风5,2026-07-21,21,224.20962,未知且不计,2026-09-19,在用,从2026-07-21开始统计；此前里程不估算、不补录；含8/3约11.5km、8/4约13.5km跑步机估算值
特步 160X 3.0 PRO,2026-07-22,5,74.99984,未知且不计,2026-09-20,在用,从2026-07-22开始统计；此前里程不估算、不补录
李宁飞电 6 Elite 白红,2026-07-23,8,95.93948,未知且不计,2026-09-17,在用,从2026-07-23开始统计；此前里程不估算、不补录
李宁飞电 6 Elite 白蓝,待启用,0,0,未知且不计,,待启用,尚未启用精确统计
安踏 C202 6代,2026-08-12,3,27.39543,未知且不计,2026-08-26,在用,从2026-08-12开始统计；此前里程不估算、不补录
